"Tenormin","atenolol","""I've been taking this medication since Mar 2015. Started out on 75mg a day and found the side affects were horrible. Tiredness, dizziness.It just became to much and couldn't function. Doctor drop it to 50mg a day and my heart beat drops below 50bpm which is scary and blood pressure drops.""","July 27, 2015"
"Tenormin","atenolol","""Ever since taking this my throat has been swollen. I told the dr & he doesn't think its from the Atenolol but it didn't start until then. Its hard to sleep at night. I have horrible eye pressure and it makes me anxious. I'm hoping I can switch meds soon. It doesn't reduce my pressure much at all.""","November 11, 2013"
"Tenormin","atenolol","""Twenty years ago (in my mid thirties) I began to suffer from excruciating headaches.  My doctor put me on progesterone cream, and there was some improvement.  He thought that PMS was a contributing factor.  I had a cardiac arrest  when I was 38.  Nothing was found to be wrong with my heart, but I was going through an emotional crisis at the time.  The cardiologist put me on atenolol (25 mg/day; I now take 50 mg/day).  I was put on the atenolol to keep my blood pressure down and keep my heart from beating too fast in emotional situations.  The upside to all this is that I have not had but a couple of migraines in 20 years, and none since the dose was increased to 50 mg.""","February 20, 2013"
"Tenormin","atenolol","""My blood pressure went fro 160/100 to 110/70 and I have not had any side effects.""","January 21, 2013"
"Tenormin","atenolol","""I was prescribed this medicine for irregular heartbeat, but also noticed that it greatly affects my anxiety too. I would highly recommend it.""","July 31, 2012"
"Tenormin","atenolol","""Have been using this for many years to regulate my heart beat as I have mitral prolapse and atrial tachycardia and have found it the best out of others.""","March 7, 2012"
"Tenormin","atenolol","""This pill slows my heart down and relaxes me. I actually feel calm. I also take 0.5 Xanax with this and Wellbutrin 200mg. I have agoraphobia and these pills together help me function NORMALLY. YES CAN YOU BELIEVE IT **NORMALLY**. I never thought normal would ever be in my vocab.""","May 30, 2011"
"Tenormin","atenolol","""I have been on Tenormin for about 4 years. It certainly has taken care of the heart palpitations. I do not take any caffeine. But other side-effects have occurred: asthma has gotten worse,  I get winded after running only one and a half mile, more often than not, I feel tired, my hair is thinning, I have esophageal spasms, which I have read that Tenormin may induce upper GI problems. I am going off the medication to see if it makes a difference. I exercise regularly, and 7 years ago, my Doctor suggested I take Beta-Blockers, which I wasn't keen on, but since I exercise, he said it wasn't that imperative that I take it. So I'd rather run regularly, and efficiently and be off it.""","April 7, 2011"
"Tenormin","atenolol","""Even though I have read that atenolol may raise 50% the risk for diabetes, I have used it for more than 20 years without any problems.""","April 7, 2010"
"Tenormin","atenolol","""I have taken Tenormin/Atenolol for Mitral Valve Prolapse, and accompanying arrhythmias, for probably 20 years.  I VERY rarely have episodes and, so far as I am aware, no side effects of any kind.""","February 27, 2010"
"Tenormin","atenolol","""I just started this drug, noticed heart rate regulated ,and blood preasure and heart rate hasn't been this low in years, so far seems to be great. I am on 25mg - the lowest dose.""","January 27, 2010"
"Tenormin","atenolol","""I took Tenormin years ago for migraines...guess it worked then too.  But I had been taken off of it....last year alone I had over 20 migraines, I was put back on Tenormin in October 09, 1per day.  I had 2 migraines by November 09 in which my dose was increased to 2/day (25mg).  Today is Jan 27, 2010 and I haven't had a migraine since Nov 09.""","November 14, 2009"
